Grapheme	IPA	Note
a	a	also hi
u	o	
o	o	
i	i	also ɨ
e	ɨ	
+	+	
b	ß	
d	r	
k_ʷ	kʷ	also w
k	k	
p	p	
m	m	
r	n	
n	n	
ʈ_ʂ	ʂ	
t	t	also ts
z	ʃ	
w	ɽ	
ʃ	s	unsecured
s	s	no correspondence given, prediction is difficult
ʔ	ʔ	
ɽ	r	
j	s	also ʂ, ts	proposed by Girard, but phonetic reality is unclear
