Sequence	IPA	Note
a	a	
h	h	
o	o	
[i/ɨ]	[i/ɨ]	
ɨ	ɨ		
+	-	
ß	β	
r	n	
[kʷ/w]	[k/w]	
k	k	
p	p	
m	m	
n	n	word-finally sometimes dropped
ʂ	ʂ	
[t/ts]	[t/ts/tʃ]	also tʃ
ʃ	ʃ	
ɽ	ɽ	
s	s	ʃ
ʔ	ʔ	0
