Sequence	IPA	Note
^a	[a/hi]
a	a	
h	h	
o	o	
[i/ɨ]	[i/ɨ]	
ɨ	ɨ	
+	-	
ß	β	
r	n	
n	n	word-finally sometimes dropped
ɽ	ɽ	
[kʷ/w]	[k/w]	
k	k	
p	p	
m	m	
ʃ	ʃ	
ʂ	ʂ	
[t/ts]	[t/ts/tʃ]	
s	s	
ʔ	ʔ	
