Grapheme	IPA
^a	h i	only initial position
a	ɨ	observed in one case ("mouth"), status unclear
kʷ	w	kʷ in Tacana corresponds to kʷ and w in Pano/Shipibo
t	ts	t in Tacana corresponds to ts and t in Pano
t	tʃ	Pano ts split to tʃ and ts in Shipibo, according to the Oliveira data
s	ʂ	status of s unclear, proposed by Girard
s	ts	status of s unclear, proposed by Girard
