ID	Concept	Concepticon	ProtoTakana	ProtoPano_predicted	Doculect	Predicted	Form	Evaluation
443	*agarrar	SEIZE	ina	[i/ɨ]na	Shipibo	[i/ɨ]na	tsoma	0
457	*cielo	SKY	ba	ßa	Shipibo	βa	nai	0
458	*cielo	SKY	bare	ßanɨ	Shipibo	βanɨ	nai	0
459	*dormir	SLEEP	tawi	[t/ts]aɽ[i/ɨ]	Shipibo	[t/ts/tʃ]aɽ[i/ɨ]	ʔoʂa	0
460	*chico	SMALL	wai	ɽa[i/ɨ]	Shipibo	ɽa[i/ɨ]	ʂko	0
463	*víbora	SNAKE	bakʷa	ßa[kʷ/w]a	Shipibo	βa[k/w]a	rono	0
469	*ardilla	SQUIRREL	dawapa	raɽapa	Shipibo	naɽapa	kapa	0
470	*robar	STEAL	ʈʂiri	ʂ[i/ɨ]n[i/ɨ]	Shipibo	ʂ[i/ɨ]n[i/ɨ]	jomɨtso	0
472	*piedra	STONE	tumu	[t/ts]omo	Shipibo	[t/ts/tʃ]omo	ʂaʂo	0
474	*sol	SUN	ʃeti	sɨ[t/ts][i/ɨ]	Shipibo	sɨ[t/ts/tʃ][i/ɨ]	βaɾi	0
475	*barrer	SWEEP	ʃabu	saßo	Shipibo	saβo	was	0
476	*dulce	SWEET	bita	ß[i/ɨ][t/ts]a	Shipibo	β[i/ɨ][t/ts/tʃ]a	βata	phon
479	*nadar	SWIM	beʈʂa	ßɨʂa	Shipibo	βɨʂa	nono	0
480	*cola	TAIL	iwa	[i/ɨ]ɽa	Shipibo	[i/ɨ]ɽa	hina	0
489	*amarrar,atar	TIE	ɽisi	r[i/ɨ]s[i/ɨ]	Shipibo	n[i/ɨ]s[i/ɨ]	nɨʂa	phon
490	*tabaco	TOBACCO	umasa	omasa	Shipibo	omasa	romɨ	0
491	*lengua	TONGUE	ana	ana	Shipibo	[a/hi]na	hana	phon
498	*dos	TWO	beta	ßɨ[t/ts]a	Shipibo	βɨ[t/ts/tʃ]a	raβɨ	phon
503	*voz	VOICE	ʈʂuri	ʂon[i/ɨ]	Shipibo	ʂon[i/ɨ]	hoi	0
505	*esperar	WAIT (FOR)	iʃu+a	[i/ɨ]so+a	Shipibo	[i/ɨ]so-a	mana	0
506	*querer	WANT	beiʃi	ßɨ[i/ɨ]s[i/ɨ]	Shipibo	βɨ[i/ɨ]s[i/ɨ]	kas	0
507	*lavar	WASH	ʃakʷa	sa[kʷ/w]a	Shipibo	sa[k/w]a	patsa	0
511	*1P	WE	ei	ɨ[i/ɨ]	Shipibo	ɨ[i/ɨ]	no	0
517	*qué?	WHAT	aʔi	aʔ[i/ɨ]	Shipibo	[a/hi]ʔ[i/ɨ]	hawɨ	phon
519	*blanco	WHITE	pasa	pasa	Shipibo	pasa	hoʂo	0
520	*quién	WHO	aʔira	aʔ[i/ɨ]na	Shipibo	[a/hi]ʔ[i/ɨ]na	tso	0
521	*quién	WHO	aʔi	aʔ[i/ɨ]	Shipibo	[a/hi]ʔ[i/ɨ]	tso	0
522	*viento	WIND	beni	ßɨn[i/ɨ]	Shipibo	βɨn[i/ɨ]	niwɨ	phon
523	*viento	WIND	kʷesi	[kʷ/w]ɨs[i/ɨ]	Shipibo	[k/w]ɨs[i/ɨ]	niwɨ	0
525	*with	WITH	n	n	Shipibo	n	ja	0
533	*2da persona	YOU	mi	m[i/ɨ]	Shipibo	m[i/ɨ]	mato	0
