# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	CONCEPTICON_ID	TOKENS	FORM	COGID	ALIGNMENT
579	ProTa	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
580	ReyMar	Cheek	CHEEK	1730	t a m u	ebu-tamu	9	t a m u
232	Shar	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
226	SK	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
231	Yam	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
#
377	Ama	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
163	Chak	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
166	Chan	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
378	HanKax	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
162	Kap	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
164	Kax	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
381	Kor	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
160	Ksh	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
382	Mat	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
383	MatMay	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
379	Maw	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
159	ProPa	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
158	ProPaTa	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
545	ProTa	Come	COME	1446	b e	be-	10	b e
167	Shar	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
161	SK	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
165	Yam	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
380	Yaw	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
#
439	Ama	Elbow	ELBOW	981	b a	vapoxko	19	b a - -
597	Ara	Elbow	ELBOW	981	b a ʃ a	ebaša	19	b a ʃ a
248	Chak	Elbow	ELBOW	981	b a s	baspoto	19	b a s -
594	Ese	Elbow	ELBOW	981	b a ʃ o	e-bašo	19	b a ʃ o
440	HanKax	Elbow	ELBOW	981	b a ʂ	baʂtunku	19	b a ʂ -
247	Kap	Elbow	ELBOW	981	b a ʂ	baʂpoʂko	19	b a ʂ -
249	Kax	Elbow	ELBOW	981	p a x u	paxuxu	19	p a x u
245	Ksh	Elbow	ELBOW	981	b u x u	banbuxu	19	b u x u
441	Mat	Elbow	ELBOW	981	β u r u	mɨntʂinβuru	19	β u r u
442	MatMay	Elbow	ELBOW	981	p i s	mɨntsimpis	19	p i s -
244	ProPa	Elbow	ELBOW	981	β a ʂ u	βaʂ(u)-	19	β a ʂ u
243	ProPaTa	Elbow	ELBOW	981	b a ʂ u	baṣu	19	b a ʂ u
591	ProTa	Elbow	ELBOW	981	b a tʂ u	-baṭṣu	19	b a tʂ u
593	ReyMar	Elbow	ELBOW	981	m.b a ts o	e-mba-co	19	m.b a ts o
246	SK	Elbow	ELBOW	981	p o t o	põtõko	19	p o t o
592	Tac	Elbow	ELBOW	981	b a tʂ u	e-ba-cu	19	b a tʂ u
596	Tia	Elbow	ELBOW	981	w a ts u	wacu	19	w a ts u
595	War	Elbow	ELBOW	981	b a ʃ o	e-bašo	19	b a ʃ o
250	Yam	Elbow	ELBOW	981	p o t o	po-to-ṣ̌ko	19	p o t o
#
399	Ama	Fat	FAT (ORGANIC SUBSTANCE)	323	x ɨ n i	xɨni	20	x ɨ n i
564	Ara	Fat	FAT (ORGANIC SUBSTANCE)	323	s e i	ésey	20	s e - i
562	Cav	Fat	FAT (ORGANIC SUBSTANCE)	323	tʂ e r i	e-ceri	20	tʂ e r i
191	Chak	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
193	Chan	Fat	FAT (ORGANIC SUBSTANCE)	323	ʃ ɨ d i	ʃɨdi	20	ʃ ɨ d i
563	Ese	Fat	FAT (ORGANIC SUBSTANCE)	323	s e i	e-sei	20	s e - i
400	HanKax	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
189	Kap	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
397	Kat	Fat	FAT (ORGANIC SUBSTANCE)	323	ʃ ɨ n i	ʃɨni	20	ʃ ɨ n i
403	Kor	Fat	FAT (ORGANIC SUBSTANCE)	323	ʃ ɨ n i	ʃɨni	20	ʃ ɨ n i
187	Ksh	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
190	Mar	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
404	Mat	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
401	Maw	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
398	Poy	Fat	FAT (ORGANIC SUBSTANCE)	323	h a ∼.d i	hãdi	20	h a ∼.d i
186	ProPa	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
185	ProPaTa	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ r i	ʂɨNi	20	ʂ ɨ r i
560	ProTa	Fat	FAT (ORGANIC SUBSTANCE)	323	tʂ e r i	ṭṣeri	20	tʂ e r i
396	Shan	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
194	Shar	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
188	SK	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
561	Tac	Fat	FAT (ORGANIC SUBSTANCE)	323	tʂ e i	e-cei	20	tʂ e - i
192	Yam	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨnĩ	20	ʂ ɨ n i
402	Yaw	Fat	FAT (ORGANIC SUBSTANCE)	323	ʂ ɨ n i	ʂɨni	20	ʂ ɨ n i
#
407	Ama	Fingernail	FINGERNAIL	1258	m ɨ n ts i s	mɨntsis	21	m ɨ n ts i s -
568	Cav	Fingernail	FINGERNAIL	1258	m e	e-me-šoro	21	m e - - - - -
201	Chak	Fingernail	FINGERNAIL	1258	m ɨ ∼ ts i s	mɨ̃tsis	21	m ɨ ∼ ts i s -
204	Chan	Fingernail	FINGERNAIL	1258	b i ts i s	bitsis	21	b i - ts i s -
569	Ese	Fingernail	FINGERNAIL	1258	m e k i ʃ e	e-me-kiše	21	m e - k i ʃ e
408	HanKax	Fingernail	FINGERNAIL	1258	m ɨ ∼ ts i s	mɨ̃tsis	21	m ɨ ∼ ts i s -
199	Kap	Fingernail	FINGERNAIL	1258	m ɨ n ts i s	mɨ̃ntsis	21	m ɨ n ts i s -
406	Kat	Fingernail	FINGERNAIL	1258	m ɨ ∼ tʃ i ʃ i	mɨ̃tʃiʃi	21	m ɨ ∼ tʃ i ʃ i
202	Kax	Fingernail	FINGERNAIL	1258	m ɨ ∼ tʃ i s i	mɨ̃tʃisi	21	m ɨ ∼ tʃ i s i
411	Kor	Fingernail	FINGERNAIL	1258	m ɨ tʃ i	mɨtʃiun	21	m ɨ - tʃ i - -
197	Ksh	Fingernail	FINGERNAIL	1258	u n ts i s	Untsis	21	- u n ts i s -
200	Mar	Fingernail	FINGERNAIL	1258	m ɨ ∼ ts i s i	mɨ̃tsisi	21	m ɨ ∼ ts i s i
412	Mat	Fingernail	FINGERNAIL	1258	m ɨ n t i s	mɨntis	21	m ɨ n t i s -
413	MatMay	Fingernail	FINGERNAIL	1258	m ɨ n ts i s	mɨntsis	21	m ɨ n ts i s -
409	Maw	Fingernail	FINGERNAIL	1258	m ɨ ∼ ts i s i	mɨ̃tsisi	21	m ɨ ∼ ts i s i
196	ProPa	Fingernail	FINGERNAIL	1258	m ɨ n ts i s i	mɨ̃-tsisi	21	m ɨ n ts i s i
195	ProPaTa	Fingernail	FINGERNAIL	1258	m ɨ ts i z i	mɨ-tsizi	21	m ɨ - ts i z i
565	ProTa	Fingernail	FINGERNAIL	1258	m e t i ʃ i	metiji	21	m e - t i ʃ i
567	ReyMar	Fingernail	FINGERNAIL	1258	m e t i tʃ i	emetichi	21	m e - t i tʃ i
405	Shan	Fingernail	FINGERNAIL	1258	m ɨ tʃ i ʃ i	mɨtʃiʃi	21	m ɨ - tʃ i ʃ i
205	Shar	Fingernail	FINGERNAIL	1258	m ɨ ts i s i	mɨtsisi	21	m ɨ - ts i s i
198	SK	Fingernail	FINGERNAIL	1258	m ɨ n ts i s	mɨ̃ntsis	21	m ɨ n ts i s -
566	Tac	Fingernail	FINGERNAIL	1258	m e	e-me-haca	21	m e - - - - -
203	Yam	Fingernail	FINGERNAIL	1258	m i ts i s	mitsis	21	m i - ts i s -
410	Yaw	Fingernail	FINGERNAIL	1258	m ɨ ts i s i	mɨtsisi	21	m ɨ - ts i s i
#
335	Ama	Fire	FIRE	221	tʃ i ʔ i	tʃiʔi	22	tʃ i ʔ i
521	Aro	Fire	FIRE	221	t e	etesi	22	t e - -
522	Cav	Fire	FIRE	221	t i	e-tiki	22	t i - -
110	Chak	Fire	FIRE	221	tʃ i ʔ i	tʃiʔi	22	tʃ i ʔ i
113	Chan	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
336	HanKax	Fire	FIRE	221	tʃ i	tʃi	22	tʃ i - -
108	Kap	Fire	FIRE	221	tʃ i ʔ i	tʃiʔi	22	tʃ i ʔ i
334	Kat	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
111	Kax	Fire	FIRE	221	tʃ i ʔ i	tʃiʔi	22	tʃ i ʔ i
106	Ksh	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
109	Mar	Fire	FIRE	221	tʃ i	tʃi	22	tʃ i - -
337	Maw	Fire	FIRE	221	tʃ i	tʃi	22	tʃ i - -
105	ProPa	Fire	FIRE	221	ts i ʔ i	tsiʔi	22	ts i ʔ i
104	ProPaTa	Fire	FIRE	221	ts i ʔ i	tsiʔi	22	ts i ʔ i
518	ProTa	Fire	FIRE	221	t i	ti	22	t i - -
520	ReyMar	Fire	FIRE	221	t i	-ti-	22	t i - -
333	Shan	Fire	FIRE	221	tʃ i	tʃi	22	tʃ i - -
114	Shar	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
107	SK	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
519	Tac	Fire	FIRE	221	t i	e-ti-ře	22	t i - -
112	Yam	Fire	FIRE	221	tʃ i i	tʃii	22	tʃ i - i
338	Yaw	Fire	FIRE	221	tʃ i	tʃi	22	tʃ i - -
#
390	Ama	Flesh	FLESH	2259	n a m i	nami	23	n a m i
559	Ara	Flesh	FLESH	2259	a m i	éami	23	- a m i
555	Aro	Flesh	FLESH	2259	j a m i	yami	23	j a m i
556	Cav	Flesh	FLESH	2259	r a m i	e-rami	23	r a m i
180	Chak	Flesh	FLESH	2259	n a m i	nami	23	n a m i
183	Chan	Flesh	FLESH	2259	n a b i	nabi	23	n a b i
557	Ese	Flesh	FLESH	2259	j a m i	eyami	23	j a m i
391	HanKax	Flesh	FLESH	2259	n a m i	nami	23	n a m i
178	Kap	Flesh	FLESH	2259	n a m i	nami	23	n a m i
388	Kat	Flesh	FLESH	2259	n a m i	nami	23	n a m i
181	Kax	Flesh	FLESH	2259	l a m i	lami	23	l a m i
176	Ksh	Flesh	FLESH	2259	n a m i	nami	23	n a m i
179	Mar	Flesh	FLESH	2259	n a m i	nami	23	n a m i
394	Mat	Flesh	FLESH	2259	n a m i	nami	23	n a m i
395	MatMay	Flesh	FLESH	2259	n a m i	nami	23	n a m i
392	Maw	Flesh	FLESH	2259	n a m i	nami	23	n a m i
389	Poy	Flesh	FLESH	2259	n a ∼.b i	nãbi	23	n a ∼.b i
175	ProPa	Flesh	FLESH	2259	n a m i	nami	23	n a m i
174	ProPaTa	Flesh	FLESH	2259	r a m i	Nami	23	r a m i
552	ProTa	Flesh	FLESH	2259	r a m i	ɾami	23	r a m i
554	ReyMar	Flesh	FLESH	2259	j a m i	yami	23	j a m i
387	Shan	Flesh	FLESH	2259	n a m i	nami	23	n a m i
184	Shar	Flesh	FLESH	2259	n a m i	nami	23	n a m i
177	SK	Flesh	FLESH	2259	n a m i	nami	23	n a m i
553	Tac	Flesh	FLESH	2259	j a m i	yami	23	j a m i
558	War	Flesh	FLESH	2259	j a m i	eyami	23	j a m i
182	Yam	Flesh	FLESH	2259	n a m i	nami	23	n a m i
393	Yaw	Flesh	FLESH	2259	n a m i	nami	23	n a m i
#
417	Ama	Foot,leg	FOOT OR LEG	2098	t a	taʔɨ	24	t a
573	Cav	Foot,leg	FOOT OR LEG	2098	t a	awa-taka	24	t a
212	Chak	Foot,leg	FOOT OR LEG	2098	t a	taʔɨ	24	t a
215	Chan	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
418	HanKax	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
210	Kap	Foot,leg	FOOT OR LEG	2098	t a	taʔɨ	24	t a
415	Kat	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
213	Kax	Foot,leg	FOOT OR LEG	2098	t a	taʔɨ	24	t a
421	Kor	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
208	Ksh	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
572	Mab	Foot,leg	FOOT OR LEG	2098	tʰ a	itha	24	tʰ a
211	Mar	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
422	Mat	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
423	MatMay	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
419	Maw	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
416	Poy	Foot,leg	FOOT OR LEG	2098	t a	tay	24	t a
207	ProPa	Foot,leg	FOOT OR LEG	2098	t a	ta-	24	t a
206	ProPaTa	Foot,leg	FOOT OR LEG	2098	t a	ta-	24	t a
570	ProTa	Foot,leg	FOOT OR LEG	2098	t a	ta-	24	t a
414	Shan	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
216	Shar	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
